"logFC" "logCPM" "F" "PValue" "FDR"
"RGS20" -7.64278866542887 3.11399215277624 127.452339367871 4.79815387277574e-07 0.000207252565646954
"LHX2" -13.8421221117242 4.33631078056436 205.259237248499 4.95810561613633e-07 0.000210120774045355
"C1orf61" -8.50345980192674 6.62500759006194 125.410276775077 5.17662955432534e-07 0.000215319030406854
"NR2E1" -10.6124871602474 3.51518188591301 201.963330644442 5.28150116976504e-07 0.000215686905043805
"COL15A1" 6.54558853988983 5.86007459479842 124.040087040978 5.45071031160845e-07 0.000218622150551853
"PMP2" -7.01375000446502 6.78570181399476 116.790316557199 7.22736049979106e-07 0.000282918695849258
"KCNMB1" 6.56315987438068 5.77071091122481 116.08647602075 7.43444745160457e-07 0.000282918695849258
"HOXA5" 9.59752198221878 3.0229692038872 115.699325240773 7.55138715445764e-07 0.000282918695849258
"FAM167A" -6.75865405453373 4.09709942608774 115.678963016561 7.55759839319508e-07 0.000282918695849258
"PXDN" 4.1495601085944 6.31077824415505 114.48677712621 7.93217438790238e-07 0.000292073063814222
"SLC1A2" -9.98095846546627 9.50423577961273 112.969499444774 8.44159181406145e-07 0.000301033135264463
"LOC101928409" 8.77888626578001 3.70345206808679 112.683685861144 8.54189117726982e-07 0.000301033135264463
"ACTG2" 12.5905993674574 11.5706871640458 112.582932686425 8.57758811135997e-07 0.000301033135264463
"TMEM159" 3.8754916764092 5.21655955129906 112.02134565945 8.77986638250377e-07 0.00030184574726547
"PSAT1" -4.27999764694997 5.45648768832513 111.572268897748 8.94574318308292e-07 0.00030184574726547
"PAX6" -4.6236211394365 3.46615015916633 111.417172602562 9.00390234931058e-07 0.00030184574726547
"PCDH10" -3.57356218727552 4.23487893818099 110.382133514043 9.40384888074982e-07 0.000310617426044885
"SOX21" -8.41859331376957 2.19987465336003 108.118011649074 1.03554814140892e-06 0.000328086328863866
"B3GAT1" -6.63828748796484 6.14593082988739 107.821697244948 1.04883946096182e-06 0.000328086328863866
"CFAP46" -5.11588553872582 3.95234928219037 107.788284152162 1.05035101212396e-06 0.000328086328863866
"LINC01896" -9.09954883196079 2.88061015794801 107.758530868051 1.05169919764028e-06 0.000328086328863866
"ANTXR2" 4.91629029493124 6.26198598962234 106.807806884597 1.09589121846625e-06 0.000337189214492745
"NRCAM" -5.2495596273605 6.23567258466895 106.216481682713 1.12450109399736e-06 0.000338239547488495
"FBLN1" 3.3244421417523 7.10976431977538 106.116574591199 1.12942282452416e-06 0.000338239547488495
"SLC25A48" -7.22474363950377 2.48285452242699 105.762318484018 1.14708389776934e-06 0.000339008571418385
"RBPMS" 5.0160346711163 7.51134826306493 105.456733343745 1.16258497616523e-06 0.000339127547398017
"MEOX1" 7.91006633763486 2.66957698319325 105.075988391227 1.18225133903724e-06 0.000340442914437379
"PSD2" -6.57021012886088 5.51486731653638 104.554785391807 1.20982318569932e-06 0.000343972640177118
"RASL10A" -5.56269739350553 3.02896691060524 103.792107835787 1.25157147957e-06 0.000350695119069974
"OLFM2" -4.39383553922022 5.75520963991689 103.342916610826 1.27696789678827e-06 0.000350695119069974
"PTPRD" -3.69411308256158 4.45065330408126 103.284635433369 1.28030807905872e-06 0.000350695119069974
"GJB6" -7.9648563940055 3.87322581069221 102.368910359127 1.3341901259282e-06 0.00035704874109488
"SVIL" 6.04213916066852 10.4640169659641 102.350574496929 1.33529648065402e-06 0.00035704874109488
"CSPG4" 3.48055522648004 7.40718261295797 101.719072685602 1.37408011198522e-06 0.00036309662818
"ZNF365" -6.21507769208201 4.20543147115828 101.155898824341 1.40981110022977e-06 0.000368206594444893
"PPP1R14C" -5.69224410400935 3.99563126206752 100.801340071602 1.43287793028223e-06 0.000369929553931831
"FGL2" 3.88051262579601 5.51246393096231 100.08240645436 1.48105409062962e-06 0.000378022226473089
"HOXB4" 8.95079699668788 3.02994119226955 99.6737349542465 1.50930470837941e-06 0.000380775698354334
"DPT" 9.66430395692856 7.19924722863879 99.2496239466269 1.53930831119475e-06 0.000380775698354334
