"logFC" "logCPM" "F" "PValue" "FDR"
"RRAGD" 3.63563655008735 6.245884111255 112.594709231914 8.57340645682545e-07 0.000149276963121517
"CLU" -4.89963645148165 10.4724450006096 112.227661027375 8.70489603226215e-07 0.000150217279237987
"CACNA1C" -5.12710878199425 6.59871959521156 111.925038899682 8.8151268757181e-07 0.000150217279237987
"SOX10" -5.92244581951061 5.04026454763918 111.889860316755 8.82804900022898e-07 0.000150217279237987
"PDE9A" -4.15894404780689 4.89821924187224 111.654274684248 8.9151740191528e-07 0.000150351223934591
"GAL" -6.95153190616162 2.71227815511966 111.507973594838 8.96979832030417e-07 0.000150351223934591
"PLXNB3" -7.60597997058493 6.73383553418848 110.153233368782 9.49515175248717e-07 0.000154561766609033
"S100A1" 6.99490105028953 8.17964361536811 109.988472446469 9.56152897977692e-07 0.000154561766609033
"POPDC3" 5.72611412790554 5.99556006656561 109.888111481245 9.60223396107608e-07 0.000154561766609033
"SGCE" -2.77571893764628 4.98830435195456 109.880105814779 9.60548988041493e-07 0.000154561766609033
"PSAT1" -4.81830769914404 5.45648768832513 109.879840393112 9.60559785055531e-07 0.000154561766609033
"LOC101928819" 10.2762492146429 6.56207762507036 109.81044909683 9.63387530620395e-07 0.000154561766609033
"ATP2A2" 4.29237509717569 10.5943094274119 109.228615808041 9.87494410474779e-07 0.000157305758536695
"XIRP1" 9.7744828735096 7.30400077224638 109.039178224214 9.95498863866615e-07 0.000157464084375409
"HHATL-AS1" 8.8159449566212 1.93139422136407 108.843791842916 1.00383627476036e-06 0.000157672493478269
"TMEM176A" -3.237740065938 4.67592841214528 108.352195115888 1.02518635577495e-06 0.000158981984947418
"LOC100996723" 6.20930336901126 4.80120855532148 108.326219435889 1.0263295408653e-06 0.000158981984947418
"CAV3" 8.80033161332622 3.63868649934756 107.892276886585 1.04565511906389e-06 0.00016020022959125
"EPHA7" -6.54905899021484 4.0706348555864 107.695862175612 1.05454564178715e-06 0.00016020022959125
"TCF21" -5.63415114388947 4.31620887643138 107.672893513377 1.05559120161636e-06 0.00016020022959125
"CACNG1" 12.0307843870995 6.30194496028623 107.473454237701 1.06472232989618e-06 0.000160501531891263
"SSH2" 4.72473840797717 7.22746301347662 106.525797438155 1.1094253958274e-06 0.000166125358771195
"HRC" 7.27341535646392 7.06692766253281 106.303891939431 1.12021606488703e-06 0.000166630284989587
