	"10_6_5_11" "9_6_5_11" "purep53" "JMS8-2" "JMS8-3" "JMS8-4" "JMS8-5" "JMS9-P7c" "JMS9-P8c"
"Gm597" 0 0 0 0 0 0 0 0 0
"Gm6462" 0 0 0 0 0 0 0 0 0
"Gm9898" 0 0 0 0 0 0 0 0 0
"Phf3" 5244 5390 7186 5872 12670 9954 7246 4079 3568
"Ptp4a1" 2634 1875 4415 3846 4832 6257 4491 1375 1384
"4931428L18Rik" 0 0 0 0 0 0 0 0 0
"Lgsn" 0 0 0 0 0 0 0 0 0
"Pih1d3" 0 0 0 0 0 0 0 0 0
"Gm4850" 1 0 0 1 2 1 1 0 0
"Gm6489" 7 6 20 26 21 15 14 3 6
"Khdrbs2" 0 1 63 20 0 0 30 0 0
"Gm9839" 1 0 0 0 0 0 2 0 0
"Gm5415" 0 0 0 0 0 0 5 0 0
"Prim2" 425 527 1871 1608 1103 632 1158 275 248
"1700001G17Rik" 11 12 27 8 11 10 13 4 2
"Rab23" 195 396 873 884 959 512 744 215 149
"Bag2" 452 727 2229 2342 1899 1310 2439 421 418
"Zfp451" 965 733 1479 1102 1914 2268 2052 487 628
"Gm15455" 210 343 658 528 673 430 579 203 134
"Bend6" 5 6 7 11 21 21 15 4 6
"Dst" 12154 36805 75673 98971 74010 40515 127384 23313 10089
"Mir5103" 0 1 3 7 2 1 0 0 0
"Ccdc115" 269 267 486 467 787 700 469 184 189
"Imp4" 1205 1389 2630 2019 3183 2214 2052 738 701
"D1Ertd448e" 536 569 855 731 1560 1160 932 373 332
"Ptpn18" 2609 1436 100 88 3325 4426 96 794 1488
"Prss39" 19 3 0 0 11 52 0 0 4
"Cfc1" 0 0 0 0 0 0 0 0 0
"Prss40" 0 0 1 2 0 0 3 0 0
"Amer3" 0 0 0 0 0 0 0 0 0
"AA619741" 0 0 0 2 0 0 1 0 0
"Arhgef4" 143 99 1050 827 260 247 1075 71 87
"Fam168b" 7146 7138 17154 16917 18231 13286 14957 4825 3979
"Plekhb2" 1401 5449 1849 1723 9536 3077 2228 2852 1156
"Hs6st1" 6546 3199 11884 10735 12760 13225 11066 1542 2834
"Uggt1" 3904 7683 10767 10098 15468 7708 8959 4094 2631
"Neurl3" 18 24 96 76 80 50 163 35 21
"Arid5a" 4169 7822 22584 27869 16088 10102 20614 5588 2487
"Kansl3" 3566 3687 5341 4537 8724 7618 6168 2257 2123
"Lman2l" 940 1836 1088 994 3411 1518 916 1101 548
"Cnnm4" 1503 1364 3871 3959 2932 2881 2684 561 688
"Cnnm3" 720 869 691 722 1697 864 487 538 419
"Ankrd23" 153 380 266 219 575 300 319 251 141
"Ankrd39" 162 356 322 253 559 243 261 273 134
"Sema4c" 5911 15144 11940 6902 30968 11839 10124 9508 2987
"Fam178b" 51 87 115 57 191 58 69 78 25
"Cox5b" 248 554 763 701 1067 607 573 326 204
"Actr1b" 2775 3663 7464 6123 7633 4973 6961 2203 1553
"4933424G06Rik" 4 2 17 10 8 6 25 3 1
"Zap70" 2 2 23 15 7 7 47 0 2
"Tmem131" 3505 4067 9045 8572 9826 5988 8408 2648 2181
"Vwa3b" 2 8 12 11 8 5 12 7 0
"Cnga3" 1 3 38 34 4 3 66 1 0
"Inpp4a" 845 716 2493 1924 1527 1615 2777 407 443
"Coa5" 2761 3893 2935 3096 8012 4584 2252 2346 1618
"Unc50" 602 1113 1165 978 2279 1469 1063 649 414
"Mgat4a" 5350 1521 2438 2554 6227 14105 2530 581 2331
"4930594C11Rik" 177 194 509 359 506 439 423 89 109
"100861893" 0 0 0 0 0 0 0 0 0
"2010300C02Rik" 2008 1150 66 60 2862 2492 52 693 1015
"Gm19863" 3 1 0 0 0 3 0 0 0
"Tsga10" 91 100 80 51 195 155 79 75 59
"Lipt1" 69 86 91 56 141 91 90 58 59
"Mitd1" 135 243 522 410 402 239 491 252 144
"Mrpl30" 520 834 1573 1394 1797 827 1217 573 358
"Lyg2" 0 0 0 0 0 0 1 0 0
"Lyg1" 1 0 3 1 0 0 2 0 0
"Txndc9" 1803 1727 2395 2068 4950 4132 2473 1189 1311
"Eif5b" 6527 4386 10599 7137 14734 14506 12183 3564 4416
"Rev1" 688 574 1426 975 1519 1628 1689 502 410
"Aff3" 18 31 669 773 22 101 718 15 26
"Lonrf2" 0 1 4 6 0 4 2 1 0
"Chst10" 44 23 79 81 44 37 39 10 16
"100503760" 0 0 1 0 0 0 1 0 0
"Nms" 0 0 0 0 0 0 0 0 0
"Pdcl3" 1416 2417 4162 3373 4454 2605 3789 1539 1267
"Npas2" 658 333 35 42 934 1288 41 184 436
"Rpl31" 351 472 810 498 835 601 533 168 157
"Tbc1d8" 2158 2471 1056 1023 5445 5047 981 1460 1322
