	"10_6_5_11" "9_6_5_11" "purep53" "JMS8-2" "JMS8-3" "JMS8-4" "JMS8-5" "JMS9-P7c" "JMS9-P8c"
"Sccpdh" 370 867 1317 1265 1952 987 1056 536 308
"Ahctf1" 5235 3706 11438 8802 13324 14879 14567 2772 3482
"100503705" 0 0 0 0 0 1 0 0 0
"Cdc42bpa" 3851 3006 7184 6964 8580 8139 7898 2004 2473
"Coq8a" 1190 449 805 1084 1175 1048 671 246 576
"Psen2" 349 1124 401 410 2207 692 337 702 262
"Gm5069" 14 8 55 61 14 19 40 3 5
"Itpkb" 1807 979 3967 3890 5433 3540 4378 439 869
"Stum" 1 2 54 84 21 5 81 11 3
"Parp1" 2135 2499 8462 7001 5886 2981 5443 1359 1166
"Lin9" 542 459 712 564 1012 991 568 343 414
"Mixl1" 0 0 2 4 0 0 0 0 0
"Acbd3" 3316 3034 5398 4504 8521 7943 6708 2306 2728
"Gm17275" 1 0 0 0 1 0 1 0 0
"H3f3a" 575 902 1587 1301 1965 1063 1461 558 374
"Sde2" 3697 3166 9076 8681 7715 5866 6600 2299 2385
"100504598" 3 5 12 3 17 19 10 3 4
"Lefty2" 1 0 1 0 0 0 0 0 0
"100862334" 0 0 0 1 0 0 0 0 0
"Pycr2" 242 489 1089 863 835 384 608 267 124
"Lefty1" 14 3 24 23 6 11 15 1 2
"Tmem63a" 2665 1869 3406 3772 4648 4101 3045 1001 1254
"Ephx1" 8113 2875 6266 7041 9200 12162 5857 1562 4342
"9130409I23Rik" 0 0 1 1 0 2 1 0 1
"Nvl" 896 1043 1981 1590 2344 1876 1861 628 669
"Cnih4" 1228 1464 2796 2631 3558 2519 2270 818 636
"Wdr26" 9811 8780 17211 13425 25192 23143 19453 6943 6867
"A430110L20Rik" 23 8 8 9 13 21 11 4 5
"Cnih3" 7 4 32 20 12 13 42 4 0
"Ccdc121" 27 16 5 5 25 11 3 15 11
"Dnah14" 30 13 14 16 30 48 17 2 31
"Lbr" 1331 1123 5359 4092 2888 2592 4050 820 818
"Gm5533" 0 0 0 0 0 0 0 0 0
"Enah" 1508 1898 1504 1174 3621 2687 1593 1086 850
"Srp9" 361 366 681 527 807 562 473 196 205
"Vmn1r1" 0 0 0 0 0 0 0 0 0
"Degs1" 1220 1874 6699 6686 3907 2064 5788 1439 1027
"1700047M11Rik" 0 0 1 0 0 2 0 0 1
"Fbxo28" 1432 2074 5993 4678 5450 3935 6791 1351 1027
"Trp53bp2" 10359 5493 14207 10384 13275 13353 14324 4025 7089
"Capn2" 3466 5606 10427 8160 10864 7717 15070 3135 2801
"Capn8" 213 2838 22 30 4274 882 36 2064 560
"Ccdc185" 0 0 0 0 0 0 0 0 0
"Susd4" 101 202 75 78 525 184 68 85 66
"Tlr5" 683 327 144 242 839 982 183 200 385
"Disp1" 261 79 1226 1359 216 377 840 39 156
"Brox" 1114 1519 2119 1788 3091 2284 2181 1025 866
"Aida" 474 432 1610 1444 1198 1110 1388 273 301
"Mia3" 5309 4646 8718 6270 11471 11607 9316 3016 3280
"Taf1a" 673 751 1148 826 1750 1506 1421 657 560
"Hhipl2" 4356 785 175 199 4800 6958 199 305 1992
"1700056E22Rik" 7 119 16 13 106 29 5 53 11
"Dusp10" 438 3270 813 671 2737 906 689 2166 736
"1700112H15Rik" 0 0 0 0 0 0 0 0 0
"4930488B22Rik" 0 0 0 0 0 0 0 0 0
"Hlx" 0 0 15 11 9 2 24 7 0
"Marc1" 2 1 24 23 8 2 14 0 2
"Marc2" 1665 1269 2726 2566 3788 3490 2013 763 1038
"Mir1981" 0 0 0 0 0 0 0 0 0
"C130074G19Rik" 3886 1595 898 630 5529 5070 902 883 2199
"Mark1" 38 70 3843 3741 141 168 3123 60 43
"Rab3gap2" 2893 2958 3969 3460 5673 4809 4040 1866 1965
"Snora36b" 2 0 3 0 0 1 0 0 0
"Iars2" 1954 2789 4819 4084 6270 3498 3717 1797 1402
"Mir194-1" 2 1 3 2 5 2 3 1 1
"Mir215" 1 0 2 1 2 4 5 0 0
"Bpnt1" 892 1633 1372 1381 3476 1779 965 1028 600
"Eprs" 5881 6703 14759 10219 16066 12361 14313 4424 3854
"9630028B13Rik" 0 2 1 0 1 2 3 0 0
"Gm2061" 0 0 2 0 0 0 0 0 0
"Slc30a10" 1 0 1 5 1 0 2 0 0
"5033404E19Rik" 0 0 0 0 0 0 1 0 0
"Lyplal1" 621 581 542 435 1374 1028 422 330 389
"Tgfb2" 2919 970 1257 1222 4293 5323 1788 318 1419
"Rrp15" 1088 699 2619 1658 1850 1691 2159 433 518
"D1Pas1" 78 80 264 183 269 235 300 73 60
"Spata17" 8 13 8 4 16 12 17 12 5
"1700007P06Rik" 0 0 10 7 0 0 3 0 0
"Gpatch2" 783 1548 1251 1036 2730 1526 1163 985 544
"Gm37254" 58 86 83 49 133 171 133 67 48
"Esrrg" 488 952 54 42 1792 1132 79 679 382
"9330162B11Rik" 0 0 0 0 1 1 0 0 1
"Ush2a" 2 1 2 2 4 0 3 1 0
"Kctd3" 2557 2075 4920 4172 5241 4402 4580 1238 1504
"Kcnk2" 3 5 627 516 15 15 483 6 6
"Pdcd5-ps" 413 890 1704 1405 1631 935 1265 600 339
"100039307" 0 1 4 5 0 0 3 0 0
"Cenpf" 231 252 3758 2078 585 354 2669 164 177
"Ptpn14" 1548 2389 29024 34867 4930 2042 29410 2326 1273
"Smyd2" 1615 1838 5500 4910 4774 3161 4046 1114 1035
"Prox1" 262 274 34 39 665 634 40 211 183
"Prox1os" 0 0 0 0 0 3 0 0 0
"Rps6kc1" 962 943 1856 1868 1971 1262 1273 578 529
"Angel2" 1188 1158 2189 2101 2746 2295 2182 953 860
"Vash2" 33 31 895 909 71 57 1165 7 19
"Flvcr1" 7346 2833 4709 3836 7572 8726 4745 1649 3758
"A230020J21Rik" 22 9 6 11 6 7 8 5 6
"Spata45" 1 4 2 3 3 6 1 0 2
"Tatdn3" 160 187 327 398 390 273 285 140 138
"Nsl1" 45 50 397 231 84 39 207 19 22
"Batf3" 12 14 30 22 21 16 39 8 4
"Fam71a" 198 183 150 210 607 524 130 158 169
"Atf3" 98919 81465 66882 72640 116166 59025 28669 72336 51568
"D730003I15Rik" 89 120 43 25 133 77 27 65 52
"100861628" 1 0 0 0 3 3 2 0 0
"Nenf" 210 327 691 319 410 250 344 134 92
"Tmem206" 295 323 833 875 646 450 515 180 153
"Ppp2r5a" 1121 872 1752 1525 2327 2345 1855 550 635
"Gm20201" 2 1 1 0 0 2 2 1 3
"Dtl" 426 381 2798 1956 1331 959 2265 182 198
"Ints7" 2480 2212 3656 2519 4971 4148 3979 967 1285
"Lpgat1" 10511 7001 18926 11959 25553 33632 29745 3823 6276
"Nek2" 192 233 2166 1484 579 308 1135 97 100
"1700034H15Rik" 15 8 78 53 27 52 108 9 5
"Slc30a1" 1776 1308 4205 4000 4188 3735 2621 658 806
"Rd3" 4 4 7 6 3 5 3 3 5
"Traf5" 66 49 1119 1431 86 85 851 43 49
"Mir3473c" 0 0 1 1 0 0 1 0 0
"Gstp-ps" 527 1485 2167 2032 2965 1186 1744 805 404
"Rcor3" 454 354 907 844 809 669 697 250 318
"Gm10516" 25 17 52 56 49 34 47 15 9
"Kcnh1" 461 5898 3675 5459 14398 2505 5194 5537 1311
"Hhat" 471 217 926 826 675 610 744 97 171
"A730013G03Rik" 5 2 4 9 0 8 2 0 9
"1700065J18Rik" 1 2 0 4 4 5 2 1 2
"Sertad4" 3247 967 2579 2506 2807 4267 1998 517 1766
"Gm15867" 414 137 748 875 295 400 619 63 220
"Syt14" 0 2 1 0 3 0 0 1 1
"Diexf" 626 634 1914 1353 1387 1069 2310 403 361
"Irf6" 6273 10135 9841 8385 20117 11074 11450 6700 4631
"A130010J15Rik" 279 602 960 895 1423 732 879 298 191
"Traf3ip3" 4 4 21 12 3 3 17 1 1
"Hsd11b1" 54 39 34 39 54 185 47 6 54
"G0s2" 0 0 0 0 0 0 0 0 0
"100503531" 0 0 0 0 0 0 0 0 0
"Lamb3" 6003 1797 44981 50294 6542 10266 46681 725 2197
"Camk1g" 16 13 125 149 43 63 158 6 11
"Mir205" 0 0 1 0 0 0 2 1 0
"4930503O07Rik" 0 0 0 0 0 0 0 0 0
"Plxna2" 31 249 2283 1053 464 202 2645 284 73
"Mir3962" 0 0 0 0 0 0 0 0 0
"Cd34" 314 418 3117 2423 381 1500 2977 134 282
"Gm16897" 6 4 3 6 7 10 10 2 3
"A330023F24Rik" 147 18 14 9 66 213 33 29 114
"Mir29b-2" 0 0 0 0 0 0 0 0 0
"Mir29c" 0 0 0 0 0 0 0 0 0
"Cd46" 24 11 19 12 27 38 22 15 19
"Cr1l" 1545 1358 1627 1659 3379 2942 1490 820 929
"Cr2" 4 2 1 0 3 6 2 2 3
"9230019H11Rik" 0 0 0 0 0 0 0 0 0
"B020014A21Rik" 0 0 0 0 0 0 0 0 0
"H60c" 0 1 0 0 2 0 3 9 0
"Ppp1r14c" 54 18 274 105 47 50 210 19 20
"Iyd" 0 11 0 1 3 0 2 1 0
"Plekhg1" 1303 401 902 912 1920 2159 1115 321 734
"Mthfd1l" 119 324 1446 1099 706 266 785 172 88
"Akap12" 852 385 4084 3945 3681 3349 8779 905 888
"Zbtb2" 1459 1203 2508 2697 3368 2743 2150 712 777
"Rmnd1" 114 243 338 259 392 199 289 171 112
"Armt1" 100 314 235 205 506 171 118 207 89
"Ccdc170" 31 136 7 9 259 91 11 162 52
"Esr1" 998 6874 659 569 11543 2979 644 4447 1250
"Syne1" 233 1575 3706 4040 2558 779 5504 1343 412
"Myct1" 4 4 37 39 42 22 61 12 6
"Vip" 0 0 0 0 0 0 0 0 0
"Fbxo5" 66 50 211 228 112 100 203 36 35
"Mtrf1l" 145 140 301 197 306 311 233 124 120
"Rgs17" 0 0 3 1 0 2 5 0 0
"Gm3213" 0 0 1 1 0 0 0 0 0
"Oprm1" 0 0 0 0 0 0 0 0 0
"Ipcef1" 6 0 5 1 6 18 7 2 4
"Cnksr3" 2101 705 5138 4943 1723 1809 5373 335 816
"Ulbp1" 20 36 203 146 112 53 149 11 14
"Lrp11" 20 35 65 57 92 41 41 14 15
"Pcmt1" 1593 1548 2849 2718 3705 2999 2202 883 888
"A630066F11Rik" 13 12 21 15 19 29 15 9 10
"Nup43" 202 270 653 487 546 296 321 175 135
"BC020402" 89 76 146 93 181 156 116 46 51
"Lats1" 6188 4903 11618 9484 15567 16411 14713 3641 4083
"Katna1" 1598 1512 3263 3048 3855 3065 2734 1202 1034
"Ginm1" 918 1554 2699 2998 3935 2463 2839 1155 812
"100503695" 17 12 14 12 26 31 35 2 9
"Ppil4" 1687 2316 4009 2601 5543 4093 4798 2418 1487
"Zc3h12d" 6 11 18 17 20 17 20 5 6
"Mir5104" 0 0 0 0 0 0 0 0 0
"Tab2" 6245 5440 10956 8983 12784 10664 11343 3890 3919
"Ust" 71 59 1169 956 94 226 1085 33 63
"Sash1" 6283 3766 7669 8880 10146 10075 9019 2639 4226
"Gm9930" 0 10 2 4 5 3 1 6 4
"Samd5" 741 7818 1058 718 10590 2343 976 4117 1133
"Gm6150" 0 2 1 0 0 1 1 4 1
"Stxbp5" 1171 1124 3013 2769 2400 2095 2949 663 753
"Adgb" 1 0 2 1 0 1 3 2 1
"Rab32" 412 271 218 234 285 233 182 99 153
"Gm5177" 4 0 2 4 4 4 7 1 1
"Grm1" 0 0 0 0 0 0 1 0 0
"4930567K20Rik" 0 0 0 0 0 0 0 0 0
"Shprh" 465 536 1020 1003 1186 1005 837 437 377
"Fbxo30" 3462 1920 8706 8311 4282 5337 7840 1126 1986
"Epm2a" 24 79 52 67 139 52 39 54 20
"Utrn" 6352 7701 20347 20903 15839 13111 25933 5066 3934
"B230208H11Rik" 30 79 87 52 123 76 48 36 18
"Stx11" 1303 1569 1395 886 2301 1262 1915 549 377
"Sf3b5" 564 1075 2270 1667 1960 887 1244 548 341
"Plagl1" 2676 792 1718 1202 2256 4794 2182 510 1338
"100862331" 0 0 0 0 0 0 0 0 0
"Zc2hc1b" 2 2 1 2 2 2 3 0 1
"Ltv1" 1392 1579 2861 2299 4072 3041 3026 1148 908
"Phactr2" 878 444 2408 2645 1546 1288 2905 320 604
"Fuca2" 1480 2527 2369 2043 5126 2918 1772 1576 1094
"Pex3" 474 1012 862 829 1882 940 867 648 375
"Adat2" 383 380 603 393 643 368 307 213 215
"Aig1" 476 973 658 572 1833 884 573 555 348
"Hivep2" 4010 4774 8122 5781 13897 10104 15877 2025 1952
"100504211" 30 45 38 56 62 68 92 10 11
"Adgrg6" 956 1792 4102 4106 3584 1618 4878 1313 647
"Gm10335" 560 561 848 336 621 518 389 121 163
"Vta1" 714 1072 1326 1208 2337 1459 1116 736 597
"1700016L04Rik" 0 0 0 0 0 0 1 0 0
"Gje1" 0 1 0 0 0 0 0 0 0
"Nmbr" 1 0 0 2 0 0 1 0 0
"Gm20125" 0 0 0 0 0 0 0 0 1
"Cited2" 3209 1235 2569 2762 2278 3195 1558 626 2395
"Txlnb" 0 3 22 27 4 3 31 3 0
"Heca" 2475 1630 3909 3125 3792 4367 4656 1013 1309
"Abracl" 706 921 1773 1167 1749 1461 1319 587 478
"Reps1" 1964 1822 3278 3150 4714 4015 3433 1224 1368
"Ect2l" 3 1 1 1 1 0 2 1 2
"Ccdc28a" 106 341 181 136 403 123 139 184 102
"Nhsl1" 8004 3274 19472 18782 9198 12036 17966 2019 4610
"Hebp2" 605 600 1236 1128 1271 949 791 326 359
"Arfgef3" 276 900 29 22 1374 688 17 378 226
"Gm4922" 0 0 0 0 1 1 0 1 0
"4930444F02Rik" 0 3 0 0 3 3 0 0 0
"Perp" 1682 3715 31318 26970 7022 3550 24853 3618 1425
"Tnfaip3" 30650 12719 2651 2057 20265 18461 2662 3335 9581
"Gm20139" 1 1 0 0 1 1 0 0 0
"Olig3" 0 0 0 0 0 0 0 0 0
"Ifngr1" 2805 1645 1748 1641 3663 3551 1505 914 1401
"Il22ra2" 3 0 2 2 0 7 4 7 4
"Il20ra" 2 27 137 93 25 8 341 21 3
"Slc35d3" 21 73 29 32 122 50 47 51 19
"Pex7" 421 691 768 699 1460 846 672 401 313
"Map3k5" 1844 927 2317 2091 2179 3050 2371 623 1037
"Map7" 4533 3377 5410 4448 7001 7521 5835 2163 2876
"4930405J17Rik" 27 13 10 9 17 41 23 5 13
"Rpl32l" 3910 5672 8883 7631 13283 9422 7628 3025 3187
"Bclaf1" 6767 7640 15423 8092 15763 13197 14110 6864 5478
"Mtfr2" 146 88 1134 876 310 406 1082 84 79
"Pde7b" 1593 236 223 257 986 2317 266 86 762
"Ahi1" 143 183 1063 970 471 391 1283 137 121
"Gm10826" 0 0 3 1 3 0 2 0 0
"Gm20149" 1 4 2 1 4 6 10 2 3
"Myb" 217 1647 145 138 2609 584 102 1297 285
"Hbs1l" 2626 2872 4140 3105 5827 5119 4271 1939 1837
"4930455C13Rik" 40 29 15 10 42 48 23 28 28
"Aldh8a1" 10 1 4 2 11 10 8 3 7
"1700021A07Rik" 0 0 0 0 0 0 0 0 0
"1700020N01Rik" 1 0 0 0 2 2 0 0 0
"Gm5420" 7 7 1 0 11 5 0 4 1
"Sgk1" 41083 39481 58384 63802 65199 48261 49902 34481 32397
"4930444G20Rik" 0 0 0 0 0 2 0 0 0
"E030030I06Rik" 3 10 0 1 8 4 1 4 0
"Raet1e" 1 3 19 13 2 3 15 0 2
"H60b" 16 4 4 1 15 9 4 8 6
"C920009B18Rik" 3 0 1 2 0 1 5 2 1
"Raet1d" 3 1 23 15 9 4 12 1 1
"Gm10825" 0 1 2 0 0 0 0 0 0
"Slc2a12" 59 485 166 235 753 131 182 393 75
"Tbpl1" 513 873 1366 1109 1670 1035 1108 694 383
"100504411" 0 1 0 0 0 0 0 0 0
"Gm10824" 0 0 0 0 1 0 0 0 0
"Tcf21" 1 0 1 1 2 8 3 0 1
"Eya4" 5 4 8 6 2 28 24 7 8
"Rps12" 484 366 1026 573 764 819 764 238 319
"Snora33" 21 26 71 48 67 108 96 23 35
"Snord100" 43 30 162 79 104 161 139 50 52
"Slc18b1" 238 417 669 784 896 514 624 281 165
"Vnn3" 1 0 1 0 0 0 1 0 0
"Vnn1" 1 4 199 296 1 5 180 0 1
"Taar1" 0 0 0 0 0 0 0 0 0
"Taar2" 0 0 0 0 0 0 0 0 0
"Taar3" 0 0 0 0 0 0 0 0 0
"Taar4" 0 0 0 0 0 0 0 0 0
"Taar5" 0 0 0 0 0 0 0 0 0
"Taar6" 0 0 0 0 0 0 0 0 0
"Taar7a" 0 0 0 0 0 0 0 0 0
"Taar7b" 0 0 0 0 0 0 0 0 0
"Taar7d" 0 0 0 0 0 0 0 0 0
"Taar7e" 0 0 0 0 0 0 0 0 0
"Taar7f" 0 0 0 0 0 0 0 0 0
"Taar8a" 0 0 0 0 0 0 0 0 0
"Taar8b" 0 0 0 0 0 0 0 0 0
"Taar8c" 0 0 0 0 0 0 0 0 0
"Taar9" 0 0 0 0 0 0 0 0 0
"Stx7" 957 1618 5048 4055 3414 2160 4060 1103 765
"100862153" 0 0 0 0 0 0 0 0 0
"Moxd1" 58 39 30770 21198 137 505 25503 97 74
"Ctgf" 3184 1053 29245 33787 2004 1987 52243 977 2023
"Enpp1" 1422 354 7887 5593 1553 2725 6832 189 943
"Enpp3" 6684 1080 438 264 6255 12624 478 556 3326
"Med23" 1263 1663 1886 1881 3048 1808 1522 1119 1001
"Arg1" 387 5120 131 120 11616 1689 116 6133 1225
"Akap7" 142 162 1087 1034 373 266 1025 119 138
"Epb41l2" 1652 623 10674 10629 1745 3149 10969 329 855
"Smlr1" 0 0 0 0 0 0 1 0 0
"4930401C15Rik" 0 0 0 0 0 0 0 0 0
"Gm29673" 0 0 0 0 0 0 0 0 0
"Tmem200a" 5 14 2421 3058 19 19 2764 5 5
"Gm9767" 0 0 2 2 0 0 5 0 0
"Samd3" 1 0 3 0 0 0 1 0 0
"L3mbtl3" 378 531 1195 1453 1186 429 1156 406 258
"Gm8709" 1 0 1 0 0 0 0 0 0
"Arhgap18" 709 811 1007 689 1917 1700 1023 609 546
"Lama2" 348 650 568 704 299 2220 969 95 444
"Gm10145" 89 172 280 207 332 160 219 100 49
"Ptprk" 8594 8356 9246 9407 20665 16089 9338 5045 4997
"Themis" 0 1 0 0 0 0 6 0 0
"Gm20262" 0 0 0 0 0 0 0 0 0
"4930519F09Rik" 151 189 285 225 374 275 246 114 101
"2310057J18Rik" 16 0 0 1 3 53 0 0 5
"Soga3" 0 0 1 0 3 1 1 1 0
"9330159F19Rik" 1 2 11 3 0 0 8 1 0
"Echdc1" 255 371 469 330 860 642 413 192 172
"Rnf146" 1309 1184 1902 1210 2505 2330 1803 698 787
"Rspo3" 0 0 0 4 3 3 2 5 0
"Gm20276" 0 0 0 0 0 0 1 1 0
"Cenpw" 43 63 354 272 103 52 231 29 16
"Trmt11" 228 219 533 327 572 437 440 185 192
"Gm20300" 143 273 239 291 579 367 336 232 132
"Hint3" 151 212 227 293 459 360 273 141 111
"Ncoa7" 1446 397 1685 1177 690 872 1450 198 746
"Hey2" 551 61 52 66 152 376 27 49 288
"Hddc2" 1250 717 1018 674 1728 2107 751 361 794
"Tpd52l1" 426 332 830 591 653 690 507 146 252
"Supt4b" 659 717 939 568 1120 629 405 342 301
"Rnf217" 449 590 1812 1153 1277 1126 1665 453 296
"Nkain2" 1 2 133 156 4 1 131 0 1
"Trdn" 1 0 0 1 3 4 1 1 1
"D830005E20Rik" 0 0 0 0 0 0 0 0 0
"100862254" 0 0 0 0 0 0 0 0 0
"Clvs2" 0 6 1 0 3 10 0 3 0
"Sult3a2" 0 0 0 0 0 0 0 0 0
"Sult3a1" 0 0 0 1 0 0 0 0 0
"Rsph4a" 6 19 23 19 58 7 26 5 6
"Zup1" 398 357 452 353 683 672 480 332 328
"A830082N09Rik" 13 21 101 99 77 49 104 21 12
"Rwdd1" 172 245 654 501 481 315 442 118 117
"Trappc3l" 1 1 5 2 17 6 5 0 1
"Calhm4" 0 0 0 0 3 2 2 1 1
"Calhm5" 10 9 86 142 13 17 45 5 13
"Calhm6" 2 1 12 12 10 1 10 2 1
"Dse" 447 180 2620 2021 815 1223 2653 103 313
"Tspyl1" 2543 2302 3306 2944 4121 2969 2738 1216 1303
"Tspyl4" 109 124 430 573 232 172 290 86 60
"Nt5dc1" 541 897 770 687 1885 1115 650 673 440
"Col10a1" 17 1 3 5 9 9 3 7 5
"Frk" 1104 859 869 610 1589 1616 643 571 730
"Amd2" 434 493 756 596 960 636 529 306 189
"Hs3st5" 0 0 2 1 1 2 4 0 1
"Hdac2" 1398 1937 8392 5428 4629 2776 5977 1458 1081
"Marcks" 955 4188 4897 5071 6748 2289 7199 3099 1267
"Rfpl4b" 0 0 1 0 0 0 1 0 0
"Lama4" 1356 725 4919 5856 1930 2333 6337 252 605
"Fam229b" 13 17 183 185 63 35 209 7 9
"Tube1" 61 106 250 127 173 85 122 72 38
"Wisp3" 7 8 21 15 9 8 40 1 2
"Fyn" 204 130 1973 1906 308 497 1833 74 130
"Gm16364" 6 3 11 9 12 10 28 0 6
"Traf3ip2" 1250 2294 1042 1031 4147 2170 1017 1523 894
"E130307A14Rik" 76 113 180 182 257 122 217 86 54
"Rev3l" 2593 10932 5182 3194 22892 7855 6112 13633 4278
"Gm16210" 4 7 11 1 2 3 2 1 2
"Mfsd4b4" 55 86 63 55 132 88 45 54 42
"4930547M16Rik" 2 14 5 14 24 5 12 5 6
"Mfsd4b2" 0 0 3 5 2 9 2 1 2
"Mfsd4b3" 46 17 11 15 49 94 9 16 20
"Mfsd4b5" 21 8 2 6 18 15 3 8 6
"Mfsd4b1" 1 6 1 1 5 0 1 1 1
"Slc16a10" 82 36 747 942 211 428 674 43 51
"Rpf2" 192 340 1056 692 779 413 895 294 183
"Gtf3c6" 602 932 1242 1006 2049 1184 891 608 358
"Rnu3a" 7 4 5 0 1 1 1 1 0
"Amd1" 1691 1822 2713 2680 4572 3208 2856 1484 1058
"Cdk19" 2892 14216 2054 1789 26019 6775 2141 11557 3634
"Slc22a16" 0 0 0 0 0 0 0 0 0
"Ddo" 202 284 167 189 653 338 96 210 111
"Mettl24" 53 115 144 98 171 98 86 35 34
"Cdc40" 1017 1486 3204 2911 2686 1568 2802 1012 751
"Wasf1" 89 87 428 312 282 147 230 59 48
"100504721" 46 53 66 40 81 52 36 19 16
"Gpr6" 0 0 0 0 0 0 0 0 0
"Fig4" 502 634 1187 1208 1478 875 833 381 360
"Ak9" 1 4 19 24 4 5 34 2 1
"Zbtb24" 357 532 485 456 978 613 502 346 239
"Mical1" 219 183 1898 1664 353 362 1276 99 133
"Smpd2" 738 1369 1276 1143 2449 1178 1057 843 563
"Ppil6" 65 135 42 60 259 92 56 126 69
"Cd164" 21295 161443 21195 20758 285722 64893 20474 125468 32267
"Ccdc162" 148 1889 34 35 2599 451 59 1078 233
"5730435O14Rik" 2 47 0 1 69 16 1 36 9
"629461" 37 519 15 20 766 157 28 395 89
"Mir3473b" 0 0 0 0 0 0 0 0 0
"Cep57l1" 101 202 513 396 368 142 316 130 82
"Sesn1" 412 848 1058 992 1220 684 798 568 458
"Armc2" 7 30 40 37 40 7 31 17 4
"Gm9855" 698 979 2053 1654 2699 1616 1739 613 445
"Foxo3" 6231 2975 4963 4136 6394 5948 3711 1391 2263
"Afg1l" 248 482 272 343 929 448 272 277 197
"Gm15197" 3 2 2 1 3 6 1 0 2
"Snx3" 3406 4301 7349 5858 9609 6107 5860 2268 1933
"Nr2e1" 0 0 0 0 0 0 0 0 0
"Ostm1" 437 1409 1411 1194 2646 1193 962 822 333
"Sec63" 5394 7435 8508 6573 16503 12738 9127 5669 3922
"Scml4" 1425 442 120 143 1371 1701 129 233 836
"Sobp" 15 5 3558 3025 22 89 3702 2 14
"9030612E09Rik" 0 0 63 54 1 1 71 0 0
"Pdss2" 202 225 655 542 477 287 521 102 114
"Bend3" 859 690 3991 5016 3023 2443 3942 335 439
"1700021F05Rik" 173 301 582 481 583 345 423 198 193
"100862325" 0 1 0 0 1 0 0 0 0
"Cd24a" 14805 53918 15002 15254 88833 32424 18025 31641 15622
"F930017D23Rik" 0 0 0 0 1 1 0 0 0
"1700027J07Rik" 0 0 0 0 4 1 0 0 0
"Qrsl1" 158 463 551 396 759 380 385 279 116
"Rtn4ip1" 149 524 457 414 841 294 284 299 111
"Crybg1" 9777 5451 12829 10376 15100 15892 15684 2725 5172
"Speer5-ps1" 1 0 4 0 1 1 1 0 0
"Atg5" 752 1035 2314 2404 2373 1515 1876 695 575
"Mir1929" 0 0 2 1 3 3 6 0 0
"Prdm1" 745 218 7578 6002 419 1112 16547 163 272
"Prep" 1175 1694 5665 4317 4091 2329 3930 953 685
"Popdc3" 0 2 4 2 0 1 8 1 0
"Bves" 0 0 121 143 1 4 102 1 0
"Lin28b" 0 0 1 0 1 0 1 0 0
"Hace1" 717 666 1995 1512 1463 1132 1600 441 431
"D030045P18Rik" 0 1 1 0 0 3 0 1 0
"100418235" 0 0 1 0 0 0 0 0 0
"Grik2" 0 1 10 2 2 3 2 0 2
"100504076" 0 0 0 0 0 0 0 0 0
"Ascc3" 3115 2246 4609 3235 5099 5110 4474 1392 1650
"Sim1" 0 0 1 1 0 0 3 0 0
"Lilr4b" 1 2 21 6 7 5 51 15 9
"Lilrb4a" 2 1 37 6 13 7 52 21 17
"Fam162b" 0 0 0 0 0 0 0 0 0
"Gprc6a" 0 0 0 0 0 0 0 0 0
"Rfx6" 0 0 0 0 0 0 0 0 0
"4933411G06Rik" 0 0 0 0 0 0 0 0 0
"Vgll2" 0 0 1 3 0 0 0 0 0
"Ros1" 0 0 0 0 1 0 0 0 0
"Dcbld1" 372 236 496 339 563 537 293 129 242
"Gopc" 831 984 2086 1616 2494 2002 1889 684 575
"Nepn" 3 3 6 5 7 8 8 2 4
"Nus1" 7404 3397 5757 3894 15077 25105 5638 2066 3930
"629689" 0 0 0 0 0 0 0 0 1
"Zfa-ps" 160 139 257 183 280 282 281 74 84
"Slc35f1" 37 4 296 343 18 41 383 1 18
"100862347" 0 0 0 0 0 0 0 0 0
"Cep85l" 199 1105 349 332 2095 615 370 722 368
"Gm19395" 2 5 2 0 7 9 3 19 6
"Pln" 4 10 19 41 18 6 20 17 7
"Tmem229b-ps" 10 7 21 19 9 8 15 2 3
"Gm20597" 3 3 7 15 4 7 11 1 0
"Mcm9" 304 390 753 824 1026 656 721 254 231
"Asf1a" 233 238 751 675 644 543 541 173 180
"Gm3902" 4 7 6 1 10 15 13 8 4
"Fam184a" 1 9 170 129 24 21 265 12 5
"Man1a" 2387 41082 10481 8843 41175 6023 11519 19785 3543
"Gm16998" 31 412 92 94 285 47 118 179 22
"Tbc1d32" 761 924 1021 794 2233 1811 1462 755 604
"Msl3l2" 94 601 382 372 211 50 308 299 61
"Gja1" 1114 946 32700 26144 1957 2019 34400 1298 573
"100862378" 0 0 0 3 0 0 1 1 0
"Gm9956" 0 0 0 0 0 0 0 0 0
"4930467K11Rik" 1 2 5 4 1 3 2 0 1
"Hsf2" 313 274 930 747 699 625 804 223 234
"Serinc1" 6066 8003 11225 10056 18158 13436 11624 5304 4464
"Pkib" 663 19 2 6 147 1136 3 30 361
"Fabp7" 2 0 0 2 3 5 0 0 0
"100502970" 0 0 0 0 1 2 0 0 1
"Smpdl3a" 2260 609 573 763 2680 4119 703 332 1451
"LOC100504180" 0 0 0 0 0 0 0 0 0
"Duxf3" 0 0 0 0 0 0 0 0 0
"Gm4981" 0 0 0 0 1 0 0 0 0
"Gm9919" 1 2 1 0 0 3 0 2 3
"Gcc2" 1121 1912 1498 971 3191 2020 1293 1322 899
"Lims1" 4140 3185 6999 5580 6777 6952 7055 2068 2610
